"time","caRNA","sti","geno","gene"
1.33333333333333,0.938278972841135,"lps","wt","Pim1"
1.41666666666667,0.97903610345052,"lps","wt","Pim1"
1.5,1.01607280017747,"lps","wt","Pim1"
1.58333333333333,1.03761594179852,"lps","wt","Pim1"
1.66666666666667,1.04120073134148,"lps","wt","Pim1"
1.75,1.03584140819253,"lps","wt","Pim1"
1.83333333333333,1.02593831576774,"lps","wt","Pim1"
1.91666666666667,1.01364075947844,"lps","wt","Pim1"
2,1,"lps","wt","Pim1"
2.08333333333333,0.984534041089488,"lps","wt","Pim1"
2.16666666666667,0.967164448335463,"lps","wt","Pim1"
2.25,0.94862318523008,"lps","wt","Pim1"
2.33333333333333,0.929277622142588,"lps","wt","Pim1"
2.41666666666667,0.909318962957273,"lps","wt","Pim1"
2.5,0.888854225215819,"lps","wt","Pim1"
2.58333333333333,0.86795114395199,"lps","wt","Pim1"
2.66666666666667,0.846660076703958,"lps","wt","Pim1"
2.75,0.825024658453753,"lps","wt","Pim1"
2.83333333333333,0.803086938925924,"lps","wt","Pim1"
2.91666666666667,0.780889798746634,"lps","wt","Pim1"
3,0.758478008704935,"lps","wt","Pim1"
3.08333333333333,0.735898598040111,"lps","wt","Pim1"
3.16666666666667,0.713200857634523,"lps","wt","Pim1"
3.25,0.690436138847675,"lps","wt","Pim1"
3.33333333333333,0.667657528957439,"lps","wt","Pim1"
3.41666666666667,0.644919446049082,"lps","wt","Pim1"
3.5,0.622277178332803,"lps","wt","Pim1"
3.58333333333333,0.599786384804246,"lps","wt","Pim1"
3.66666666666667,0.577502570744637,"lps","wt","Pim1"
3.75,0.55548055024663,"lps","wt","Pim1"
3.83333333333333,0.533773907485636,"lps","wt","Pim1"
3.91666666666667,0.512434468203884,"lps","wt","Pim1"
4,0.491511780172884,"lps","wt","Pim1"
4.08333333333333,0.470822927002568,"lps","wt","Pim1"
4.16666666666667,0.450365350808239,"lps","wt","Pim1"
4.25,0.430346576596997,"lps","wt","Pim1"
4.33333333333333,0.410886429026014,"lps","wt","Pim1"
4.41666666666667,0.392059280585407,"lps","wt","Pim1"
4.5,0.373914586184676,"lps","wt","Pim1"
4.58333333333333,0.356486870566205,"lps","wt","Pim1"
4.66666666666667,0.339800611616831,"lps","wt","Pim1"
4.75,0.323872673738345,"lps","wt","Pim1"
4.83333333333333,0.308713582245835,"lps","wt","Pim1"
4.91666666666667,0.294328266843395,"lps","wt","Pim1"
