"","time","normCnt.frac","sti","geno","gene","type","clust","v1"
"248",1,0.407700018439853,"tnf","mt","Zc3h12c","Sim.","2",FALSE
"249",2,0.728351949543978,"tnf","mt","Zc3h12c","Sim.","2",FALSE
"250",3,0.763332096665946,"tnf","mt","Zc3h12c","Sim.","2",FALSE
"251",5,0.498415167749473,"tnf","mt","Zc3h12c","Sim.","2",FALSE
"252",8,0.2972902462349,"tnf","mt","Zc3h12c","Sim.","2",FALSE
"253",0,0.0268441787878009,"lps","wt","Cxcl10","Sim.","1",FALSE
"254",0.5,0.0272754291966673,"lps","wt","Cxcl10","Sim.","1",FALSE
"255",1,0.0760691801778551,"lps","wt","Cxcl10","Sim.","1",FALSE
"256",2,0.712025661378496,"lps","wt","Cxcl10","Sim.","1",FALSE
"257",3,1,"lps","wt","Cxcl10","Sim.","1",FALSE
"258",5,0.751173446645802,"lps","wt","Cxcl10","Sim.","1",FALSE
"259",8,0.284018027648012,"lps","wt","Cxcl10","Sim.","1",FALSE
"260",0,0.0268441787878009,"tnf","wt","Cxcl10","Sim.","1",FALSE
"261",0.5,0.0586964457711872,"tnf","wt","Cxcl10","Sim.","1",FALSE
"262",1,0.349127169123882,"tnf","wt","Cxcl10","Sim.","1",FALSE
"263",2,0.263463715301879,"tnf","wt","Cxcl10","Sim.","1",FALSE
"264",3,0.184485509724429,"tnf","wt","Cxcl10","Sim.","1",FALSE
"265",5,0.0968137274870243,"tnf","wt","Cxcl10","Sim.","1",FALSE
"266",8,0.0475485244684801,"tnf","wt","Cxcl10","Sim.","1",FALSE
"267",0,0.0580076520145766,"lps","mt","Cxcl10","Sim.","1",FALSE
"268",0.5,0.0580244005436308,"lps","mt","Cxcl10","Sim.","1",FALSE
"269",1,0.127558232605744,"lps","mt","Cxcl10","Sim.","1",FALSE
"270",2,1,"lps","mt","Cxcl10","Sim.","1",FALSE
"271",3,0.871175587555453,"lps","mt","Cxcl10","Sim.","1",FALSE
"272",5,0.599458128902547,"lps","mt","Cxcl10","Sim.","1",FALSE
"273",8,0.23860800613339,"lps","mt","Cxcl10","Sim.","1",FALSE
"274",0,0.0580076520145766,"tnf","mt","Cxcl10","Sim.","1",FALSE
"275",0.5,0.091488291770924,"tnf","mt","Cxcl10","Sim.","1",FALSE
"276",1,0.458186744000961,"tnf","mt","Cxcl10","Sim.","1",FALSE
"277",2,0.442298224691078,"tnf","mt","Cxcl10","Sim.","1",FALSE
"278",3,0.328788739453802,"tnf","mt","Cxcl10","Sim.","1",FALSE
"279",5,0.17841056148442,"tnf","mt","Cxcl10","Sim.","1",FALSE
"280",8,0.0936355484252627,"tnf","mt","Cxcl10","Sim.","1",FALSE
"281",0,0.0659811454393146,"lps","wt","Bcl3","Sim.","7",TRUE
"282",0.5,0.0659811454393146,"lps","wt","Bcl3","Sim.","7",TRUE
"283",1,0.0659840099018981,"lps","wt","Bcl3","Sim.","7",TRUE
"284",2,0.414121722488744,"lps","wt","Bcl3","Sim.","7",TRUE
"285",3,1,"lps","wt","Bcl3","Sim.","7",TRUE
"286",5,0.767177524663301,"lps","wt","Bcl3","Sim.","7",TRUE
"287",8,0.249489438550896,"lps","wt","Bcl3","Sim.","7",TRUE
"288",0,0.0659811454393146,"tnf","wt","Bcl3","Sim.","7",TRUE
"289",0.5,0.0659811454393146,"tnf","wt","Bcl3","Sim.","7",TRUE
"290",1,0.0660021112689669,"tnf","wt","Bcl3","Sim.","7",TRUE
"291",2,0.581500575482215,"tnf","wt","Bcl3","Sim.","7",TRUE
"292",3,0.209685196657865,"tnf","wt","Bcl3","Sim.","7",TRUE
"293",5,0.0749128704173495,"tnf","wt","Bcl3","Sim.","7",TRUE
"294",8,0.0661198658232687,"tnf","wt","Bcl3","Sim.","7",TRUE
"295",0,0.102686235887211,"lps","mt","Bcl3","Sim.","7",TRUE
"296",0.5,0.102686235887211,"lps","mt","Bcl3","Sim.","7",TRUE
"297",1,0.102686635129612,"lps","mt","Bcl3","Sim.","7",TRUE
"298",2,0.658554963175284,"lps","mt","Bcl3","Sim.","7",TRUE
"299",3,1,"lps","mt","Bcl3","Sim.","7",TRUE
"300",5,0.637487318957379,"lps","mt","Bcl3","Sim.","7",TRUE
"301",8,0.218190863719421,"lps","mt","Bcl3","Sim.","7",TRUE
"302",0,0.102686235887211,"tnf","mt","Bcl3","Sim.","7",TRUE
"303",0.5,0.102686235887211,"tnf","mt","Bcl3","Sim.","7",TRUE
"304",1,0.10270820327246,"tnf","mt","Bcl3","Sim.","7",TRUE
"305",2,0.796838391593118,"tnf","mt","Bcl3","Sim.","7",TRUE
"306",3,0.489223852302558,"tnf","mt","Bcl3","Sim.","7",TRUE
"307",5,0.144918004001227,"tnf","mt","Bcl3","Sim.","7",TRUE
"308",8,0.103375509291539,"tnf","mt","Bcl3","Sim.","7",TRUE
"309",0,0.153389644871447,"lps","wt","Cgn","Sim.","2",FALSE
"310",0.5,0.153389644871447,"lps","wt","Cgn","Sim.","2",FALSE
"311",1,0.230289144117808,"lps","wt","Cgn","Sim.","2",FALSE
"312",2,0.452951363964721,"lps","wt","Cgn","Sim.","2",FALSE
"313",3,0.620505922854826,"lps","wt","Cgn","Sim.","2",FALSE
"314",5,0.840940758362418,"lps","wt","Cgn","Sim.","2",FALSE
"315",8,1,"lps","wt","Cgn","Sim.","2",FALSE
"316",0,0.153389644871447,"tnf","wt","Cgn","Sim.","2",FALSE
"317",0.5,0.153389644871447,"tnf","wt","Cgn","Sim.","2",FALSE
"318",1,0.262022641013149,"tnf","wt","Cgn","Sim.","2",FALSE
"319",2,0.434776066289001,"tnf","wt","Cgn","Sim.","2",FALSE
"320",3,0.365134476736349,"tnf","wt","Cgn","Sim.","2",FALSE
"321",5,0.273064244929419,"tnf","wt","Cgn","Sim.","2",FALSE
"322",8,0.204263218081327,"tnf","wt","Cgn","Sim.","2",FALSE
"323",0,0.162648017785317,"lps","mt","Cgn","Sim.","2",FALSE
"324",0.5,0.162648017785317,"lps","mt","Cgn","Sim.","2",FALSE
"325",1,0.189015187901152,"lps","mt","Cgn","Sim.","2",FALSE
"326",2,0.436765740040911,"lps","mt","Cgn","Sim.","2",FALSE
